applicant_id,age,years_employed,num_dependents,education_level,marital_status,annual_income,monthly_income,other_income,total_debt,monthly_debt_payment,num_open_loans,loan_amount,loan_purpose,credit_limit,credit_used,num_credit_lines,credit_age_years,num_late_payments,num_missed_payments,num_credit_inquiries,num_bankruptcies,num_collections,debt_to_income,monthly_payment_ratio,loan_to_income,debt_per_loan,credit_utilization,available_credit,credit_per_line,payment_history_score,missed_to_late_ratio,total_derogatory,total_income,income_per_dependent,income_stability,financial_maturity,employment_ratio,credit_age_income,net_worth_proxy,debt_coverage_ratio,creditworthy,credit_score,risk_tier
APL00011,19,4.5,1,Master,Divorced,37862.09,3155.17,173.92,3973.63,109.95,3,46652.11,Home,1776.77,651.27,3,5.8,2,2,2,0,0,0.10495,0.034848,1.232159,993.41,0.366547,1125.5,217.09,0.142857,0.666667,7.0,39949.13,19974.56,47.4378,57,1.5,61.142,33888.46,28.6964,0,680,Fair
APL00012,41,4.9,2,High School,Single,102426.4,8535.53,32.58,18433.14,579.6,3,25511.49,Car,7865.63,2242.45,13,18.9,4,0,1,1,0,0.179965,0.067904,0.249071,4608.28,0.285095,5623.18,172.5,0.2,0.0,7.5,102817.36,34272.45,56.5309,533,0.196,218.0476,83993.26,14.7266,0,702,Good
APL00013,53,3.4,2,High School,Married,37516.29,3126.36,145.55,9164.11,227.81,3,20764.2,Medical,20841.68,3347.65,13,5.7,2,0,1,0,0,0.24427,0.072867,0.553472,2291.03,0.160623,17494.03,257.51,0.333333,0.0,2.5,39262.89,13087.63,35.8107,689,0.091892,60.0356,28352.18,13.7235,1,705,Good
APL00014,73,13.8,0,High School,Single,69690.68,5807.56,153.69,16820.06,575.06,6,23165.1,Car,18228.31,1294.58,5,1.8,3,0,0,1,0,0.241353,0.099019,0.332399,2402.87,0.07102,16933.73,258.92,0.25,0.0,6.0,71534.96,71534.96,153.8953,365,0.242105,20.0733,52870.62,10.0991,0,701,Good
APL00015,67,9.2,2,Bachelor,Single,68717.85,5726.49,144.85,10672.51,344.08,0,18540.36,Medical,22155.11,4302.91,13,2.8,0,1,0,0,0,0.155309,0.060086,0.269804,10672.51,0.194217,17852.2,330.99,0.333333,1.0,2.0,70456.05,23485.35,102.4676,871,0.180392,31.1858,58045.34,16.6429,1,730,Good
APL00016,19,3.6,2,Bachelor,Single,65402.29,5450.19,116.15,5783.07,125.49,7,15259.08,Business,2662.07,217.97,5,9.1,0,1,1,0,0,0.088423,0.023025,0.233311,722.88,0.08188,2444.1,43.59,0.333333,1.0,2.5,66796.09,22265.36,39.918,95,1.2,100.9038,59619.22,43.4313,1,732,Good
APL00017,66,3.7,0,Bachelor,Married,120339.73,10028.31,338.07,54234.7,1813.58,5,20936.17,Business,33788.09,13359.77,9,22.2,0,0,2,0,0,0.45068,0.180846,0.173976,9039.12,0.395399,20428.32,1484.42,1.0,0.0,1.0,124396.57,124396.57,43.2829,594,0.074,259.6974,66105.03,5.5296,1,747,Good
APL00018,47,8.7,2,Master,Married,47228.67,3935.72,27.56,10904.15,393.11,3,8489.58,Car,12189.9,4973.04,4,23.1,0,0,0,0,0,0.23088,0.099883,0.179755,2726.04,0.407964,7216.86,1243.26,1.0,0.0,0.0,47559.39,15853.13,93.6362,188,0.280645,248.6202,36324.52,10.0118,1,738,Good
APL00019,56,1.3,2,Bachelor,Single,79063.29,6588.61,585.94,16238.06,230.42,1,8895.78,Home,7295.15,2669.74,13,13.9,4,0,0,1,0,0.205381,0.034972,0.112515,8119.03,0.365961,4625.41,205.36,0.2,0.0,7.0,86094.57,28698.19,14.6614,728,0.0325,156.7644,62825.23,28.5939,0,694,Fair
APL00020,61,1.1,0,High School,Married,50599.83,4216.65,97.91,24180.31,677.15,4,15104.12,Car,17851.35,584.28,12,22.7,1,0,3,0,0,0.477873,0.16059,0.298501,4836.06,0.03273,17267.07,48.69,0.5,0.0,2.5,51774.75,51774.75,11.9149,732,0.024444,245.8801,26419.52,6.2271,1,731,Good
APL00021,70,3.7,4,Bachelor,Married,36489.52,3040.79,159.07,34571.04,1065.14,6,8725.53,Personal,10201.27,6303.23,13,5.4,1,1,1,1,0,0.947424,0.350284,0.239124,4938.72,0.617887,3898.04,484.86,0.25,0.5,6.5,38398.36,7679.67,38.8678,910,0.068519,56.726,1918.48,2.8548,0,638,Poor
APL00022,41,2.2,3,PhD,Divorced,81872.49,6822.71,43.31,1641.0,52.89,3,16509.5,Car,7219.25,999.7,8,19.2,1,1,2,0,0,0.020043,0.007752,0.201649,410.25,0.138477,6219.55,124.96,0.25,0.5,4.0,82392.21,20598.05,24.8884,328,0.088,217.2083,80231.49,128.9981,1,736,Good
APL00023,20,2.6,3,Bachelor,Widowed,44370.76,3697.56,428.65,3690.24,76.21,4,11012.68,Business,6919.35,415.83,5,12.6,1,1,1,0,1,0.083168,0.020611,0.248197,738.05,0.060097,6503.52,83.17,0.25,0.5,5.0,49514.56,12378.64,27.8209,100,0.65,134.8245,40680.52,48.518,1,710,Good
APL00024,18,1.6,1,High School,Married,76302.05,6358.5,213.69,7197.67,73.68,1,27861.95,Business,12452.54,8926.34,12,9.8,1,0,1,0,0,0.094331,0.011588,0.365153,3598.84,0.716829,3526.2,743.86,0.5,0.0,1.5,78866.33,39433.16,17.9879,216,0.8,110.1762,69104.38,86.2989,1,733,Good
APL00025,30,2.0,3,High School,Single,25513.92,2126.16,812.11,16673.88,562.18,3,42836.43,Home,23129.17,5816.22,1,16.5,2,0,2,0,0,0.653521,0.264411,1.678943,4168.47,0.251467,17312.95,5816.21,0.333333,0.0,3.0,35259.24,8814.81,20.294,30,0.142857,167.4258,8840.04,3.782,0,679,Fair
APL00026,58,6.0,0,Master,Widowed,31260.24,2605.02,917.01,18644.05,721.52,4,26237.27,Car,18352.53,1278.38,12,11.8,4,0,2,0,1,0.596414,0.276973,0.839318,3728.81,0.069657,17074.15,106.53,0.2,0.0,6.5,42264.36,42264.36,62.1008,696,0.142857,122.1316,12616.19,3.6105,0,683,Fair
APL00027,26,5.2,2,Bachelor,Married,19344.9,1612.08,812.85,10315.36,154.58,5,12171.3,Education,12404.24,3860.08,4,4.1,2,0,2,0,0,0.533234,0.095889,0.629174,1719.23,0.31119,8544.16,965.02,0.333333,0.0,3.0,29099.1,9699.7,51.3252,104,0.52,40.468,9029.54,10.4288,0,690,Fair
APL00028,38,1.0,2,Bachelor,Married,131285.99,10940.5,715.82,43024.58,657.1,7,41873.18,Personal,15190.96,2375.82,2,17.4,4,0,0,0,0,0.327716,0.060061,0.318946,5378.07,0.156397,12815.14,1187.91,0.2,0.0,4.0,139875.83,46625.28,11.7851,76,0.045455,205.0615,88261.41,16.6497,1,735,Good
APL00029,75,4.5,2,Master,Married,40617.96,3384.83,161.59,12010.86,193.06,7,20851.09,Business,10898.37,1162.71,13,0.6,1,1,1,0,1,0.295703,0.057037,0.513347,1501.36,0.106687,9735.66,89.44,0.25,0.5,5.0,42557.04,14185.68,47.754,975,0.076271,6.3672,28607.1,17.5325,0,698,Fair
APL00030,57,3.1,0,Bachelor,Married,78887.12,6573.93,177.39,13619.2,356.63,3,14916.17,Home,11343.05,6563.41,2,14.3,1,1,0,0,0,0.172642,0.054249,0.189082,3404.8,0.578628,4779.64,3281.7,0.25,0.5,3.0,81015.8,81015.8,34.9549,114,0.07561,161.2437,65267.92,18.4335,1,715,Good
APL00031,33,3.2,4,PhD,Divorced,29486.19,2457.18,87.36,18444.34,716.66,4,20297.85,Home,9745.63,6051.77,3,11.9,2,0,0,0,0,0.625525,0.29166,0.688385,3688.87,0.620973,3693.86,2017.26,0.333333,0.0,2.0,30534.51,6106.9,32.9335,99,0.188235,122.4714,11041.85,3.4287,0,681,Fair
APL00032,65,10.9,0,None,Married,71695.78,5974.65,91.29,25928.39,949.89,5,16353.46,Car,18803.88,6685.16,6,2.7,1,0,0,0,0,0.361645,0.158987,0.228095,4321.4,0.35552,12118.72,1114.19,0.5,0.0,1.0,72791.26,72791.26,121.8642,390,0.222449,30.1865,45767.39,6.2898,1,720,Good
APL00033,45,5.1,1,Master,Married,24267.26,2022.27,549.39,59008.36,1924.64,4,50688.97,Personal,2954.33,2003.15,5,3.0,1,0,0,0,0,2.431604,0.951723,2.08878,11801.67,0.678039,951.18,400.63,0.5,0.0,1.0,30859.94,15429.97,51.4943,225,0.175862,30.2908,-34741.1,1.0507,0,606,Poor
APL00034,55,1.1,1,Master,Married,22888.98,1907.42,418.9,44074.18,1246.51,5,17560.98,Home,17634.51,7338.17,5,11.7,1,0,4,1,0,1.925563,0.653506,0.767224,7345.7,0.416126,10296.34,1467.63,0.5,0.0,6.0,27915.78,13957.89,11.0423,275,0.028205,117.4499,-21185.2,1.5302,0,595,Very Poor
APL00035,64,2.2,0,High School,Married,21912.98,1826.08,157.21,12377.92,207.22,3,59454.82,Business,4960.63,2877.71,2,8.6,2,0,0,0,0,0.564867,0.113478,2.713224,3094.48,0.58011,2082.92,1438.85,0.333333,0.0,2.0,23799.5,23799.5,21.9887,128,0.045833,85.956,9535.06,8.8123,0,667,Fair
APL00036,54,3.5,0,Master,Widowed,41499.6,3458.3,92.86,4668.55,125.27,3,28317.55,Personal,14035.13,1209.85,8,3.4,4,2,0,1,0,0.112496,0.036223,0.682357,1167.14,0.086202,12825.28,151.23,0.111111,0.4,11.0,42613.92,42613.92,37.2171,432,0.092105,36.1538,36831.05,27.6068,0,660,Fair
APL00037,62,8.2,0,Master,Married,94324.59,7860.38,424.33,22492.8,521.59,5,17532.25,Personal,24563.12,12823.65,11,5.6,2,0,1,2,0,0.238462,0.066357,0.185871,3748.8,0.522069,11739.47,1165.79,0.333333,0.0,8.5,99416.55,99416.55,93.927,682,0.178261,64.1452,71831.79,15.07,0,666,Fair
APL00038,75,1.4,0,Master,Married,33611.05,2800.92,247.58,28549.02,956.12,6,13880.32,Car,5941.36,784.57,4,21.7,1,2,2,0,0,0.849394,0.341359,0.412969,4078.43,0.132052,5156.79,196.14,0.166667,1.0,6.0,36582.01,36582.01,14.5917,300,0.023729,226.1713,5062.03,2.9295,0,691,Fair
APL00039,35,2.9,1,High School,Married,85813.23,7151.1,95.22,6893.81,79.63,6,50934.07,Home,11802.67,10242.15,9,1.2,5,1,0,0,1,0.080335,0.011135,0.593546,984.83,0.867782,1560.52,1138.02,0.125,0.166667,8.5,86955.87,43477.94,32.9438,315,0.152632,13.6319,78919.42,89.8041,0,674,Fair
APL00040,27,6.5,0,High School,Married,94559.38,7879.95,441.72,22651.55,534.29,3,5711.24,Car,4078.21,837.44,6,3.8,0,1,1,0,0,0.239548,0.067804,0.060398,5662.89,0.205345,3240.77,139.57,0.333333,1.0,2.5,99860.02,99860.02,74.4705,162,0.590909,43.5366,71907.83,14.7485,1,743,Good
APL00041,50,2.9,4,Bachelor,Married,20703.89,1725.32,70.92,9482.09,233.73,2,27937.62,Business,15092.56,6609.14,11,8.6,2,1,0,1,0,0.457986,0.135471,1.34939,3160.7,0.437907,8483.42,600.83,0.2,0.333333,7.0,21554.93,4310.99,28.8206,550,0.085294,85.4679,11221.8,7.3817,0,643,Poor
APL00042,39,0.3,4,Bachelor,Widowed,43587.22,3632.27,587.45,6903.76,112.36,1,5613.66,Business,9530.7,2275.41,12,20.0,1,0,2,0,1,0.15839,0.030934,0.128791,3451.88,0.238745,7255.29,189.62,0.5,0.0,3.5,50636.62,10127.32,3.2048,468,0.013043,213.6508,36683.46,32.3271,1,720,Good
APL00043,65,6.4,2,High School,Married,46338.51,3861.54,94.24,7397.77,161.49,2,24061.16,Education,12268.71,2938.5,7,7.3,1,0,0,0,0,0.159646,0.04182,0.519248,2465.92,0.239512,9330.21,419.79,0.5,0.0,1.0,47469.39,15823.13,68.76,455,0.130612,78.4294,38940.74,23.9119,1,724,Good
APL00044,59,0.2,3,Master,Married,18286.03,1523.84,110.09,8199.25,158.18,3,28233.23,Medical,13980.41,3686.26,8,20.1,0,0,0,0,0,0.448389,0.103804,1.543978,2049.81,0.263673,10294.15,460.78,1.0,0.0,0.0,19607.11,4901.78,1.9628,472,0.004651,197.2603,10086.78,9.6336,0,703,Good
APL00045,53,1.2,2,Bachelor,Married,38054.52,3171.21,124.23,8318.9,325.5,0,16367.67,Education,16811.71,7161.07,14,14.0,0,1,0,0,0,0.218605,0.102642,0.430111,8318.9,0.425957,9650.64,511.5,0.333333,1.0,2.0,39545.28,13181.76,12.6562,742,0.032432,147.6552,29735.62,9.7426,1,717,Good
APL00046,37,5.2,4,High School,Married,38548.0,3212.33,32.85,3350.35,108.24,3,44782.57,Car,4590.03,2934.09,2,1.5,1,1,3,0,0,0.086914,0.033695,1.161735,837.59,0.639231,1655.94,1467.04,0.25,0.5,4.5,38942.2,7788.44,54.9104,74,0.247619,15.8395,35197.65,29.6778,0,675,Fair
APL00047,40,2.4,0,High School,Married,70001.04,5833.42,799.35,15761.87,434.54,4,30940.41,Home,15786.36,3563.21,5,18.2,1,0,0,2,0,0.225166,0.074491,0.441999,3152.37,0.225714,12223.15,712.64,0.5,0.0,7.0,79593.24,79593.24,26.7751,200,0.1,203.0443,54239.17,13.4244,0,685,Fair
APL00048,44,9.4,0,High School,Single,30946.12,2578.84,67.55,14270.82,443.33,1,23232.24,Home,12364.5,1108.04,4,23.3,2,1,1,0,0,0.461151,0.171911,0.750732,7135.41,0.089615,11256.46,277.01,0.2,0.333333,4.5,31756.72,31756.72,97.1963,176,0.335714,240.9228,16675.3,5.817,1,703,Good
APL00049,68,8.7,2,Bachelor,Married,115827.24,9652.27,4.21,12500.56,347.89,7,15390.89,Personal,9495.0,2970.38,10,13.1,2,0,1,0,0,0.107924,0.036042,0.132878,1562.57,0.312836,6524.62,297.04,0.333333,0.0,2.5,115877.76,38625.92,101.4408,680,0.167308,152.7442,103326.68,27.7452,1,752,Excellent
APL00050,23,5.5,0,High School,Single,29903.49,2491.96,1317.94,9538.95,187.01,0,23662.06,Home,43181.11,11851.81,3,23.8,0,0,2,0,0,0.318991,0.075045,0.791281,9538.95,0.274467,31329.3,3950.6,1.0,0.0,1.0,45718.77,45718.77,56.6817,69,0.785714,245.2772,20364.54,13.3253,1,730,Good
APL00051,30,11.0,3,Bachelor,Single,49819.5,4151.62,560.33,14895.26,226.2,7,14463.11,Home,9907.16,801.68,9,2.1,0,0,2,0,0,0.298985,0.054485,0.29031,1861.91,0.080919,9105.48,89.08,1.0,0.0,1.0,56543.46,14135.86,118.978,270,0.785714,22.714,34924.24,18.3538,1,725,Good
APL00052,50,10.5,0,Bachelor,Single,23821.15,1985.1,432.42,20516.85,297.84,0,10167.71,Education,17931.96,7113.99,4,13.1,0,0,0,0,0,0.861287,0.150038,0.426835,20516.85,0.396721,10817.97,1778.5,1.0,0.0,0.0,29010.19,29010.19,105.8229,200,0.308824,132.0267,3304.3,6.665,0,694,Fair
APL00053,71,9.7,0,Bachelor,Single,61470.39,5122.53,131.14,10142.89,274.03,5,36813.91,Home,23830.58,4606.39,11,13.3,2,2,1,0,0,0.165004,0.053495,0.598889,1690.48,0.193297,19224.19,418.76,0.142857,0.666667,6.5,63044.07,63044.07,106.9554,781,0.176364,146.6502,51327.5,18.6933,1,712,Good
APL00054,45,0.2,3,Bachelor,Married,68383.63,5698.64,364.85,16889.15,205.51,1,11699.55,Home,28097.19,9480.51,6,14.6,2,1,1,0,0,0.246977,0.036063,0.171087,8444.58,0.337418,18616.68,1580.08,0.2,0.333333,4.5,72761.83,18190.46,2.2266,270,0.006897,162.5404,51494.48,27.7293,1,714,Good
APL00055,19,7.0,2,Bachelor,Married,29142.74,2428.56,375.03,23333.7,588.14,6,13082.35,Car,2113.59,496.46,13,2.3,2,0,1,0,0,0.800669,0.242176,0.448906,3333.39,0.234889,1617.13,38.19,0.333333,0.0,2.5,33643.1,11214.37,71.96,247,2.333333,23.644,5809.04,4.1292,0,683,Fair
APL00056,62,24.1,0,Master,Divorced,97528.03,8127.34,46.51,9653.44,137.3,4,13209.88,Home,7236.15,463.34,14,20.4,2,1,0,0,1,0.098981,0.016894,0.135447,1930.69,0.064031,6772.81,33.1,0.2,0.333333,5.5,98086.15,98086.15,276.8585,868,0.523913,234.3533,87874.59,59.194,1,739,Good
APL00057,29,2.5,1,High School,Married,34294.12,2857.84,395.2,38754.11,475.64,0,11591.79,Business,17984.34,2728.77,12,19.3,1,0,2,0,0,1.130051,0.166433,0.338011,38754.11,0.15173,15255.57,227.4,0.5,0.0,2.0,39036.52,19518.26,26.1069,348,0.192308,201.5452,-4459.99,6.0084,0,688,Fair
APL00058,68,9.8,1,PhD,Divorced,95924.11,7993.68,619.46,29475.78,588.57,1,24971.63,Education,23571.94,9130.7,9,18.7,1,0,2,0,0,0.307282,0.073629,0.260327,14737.89,0.387355,14441.24,1014.52,0.5,0.0,2.0,103357.63,51678.82,112.419,612,0.188462,214.5137,66448.33,13.5815,1,745,Good
APL00059,29,3.3,1,High School,Married,42158.87,3513.24,777.63,17630.61,430.54,6,15124.66,Car,11853.71,1639.98,14,15.8,5,1,1,0,0,0.418195,0.122548,0.358754,2518.66,0.138352,10213.73,117.14,0.125,0.166667,7.5,51490.43,25745.22,35.1424,406,0.253846,168.2577,24528.26,8.1601,0,684,Fair
APL00060,47,2.7,0,Bachelor,Married,29002.75,2416.9,36.13,10118.89,354.39,1,31893.95,Car,1263.67,407.41,4,1.4,4,0,1,0,0,0.348894,0.14663,1.099687,5059.44,0.322402,856.26,101.85,0.2,0.0,4.5,29436.31,29436.31,27.743,188,0.087097,14.3853,18883.86,6.8199,0,689,Fair
APL00061,49,2.7,2,Master,Married,48468.44,4039.04,92.25,13118.35,167.4,1,40830.74,Business,20561.26,5758.36,10,12.9,3,1,1,0,2,0.270658,0.041445,0.842419,6559.18,0.280059,14802.9,575.84,0.166667,0.25,8.5,49575.44,16525.15,29.1295,490,0.081818,139.1741,35350.09,24.1281,0,668,Fair
APL00062,67,4.0,1,High School,Single,64410.54,5367.54,74.86,29495.55,626.0,5,16979.59,Home,10319.76,2009.97,12,1.9,1,0,0,1,0,0.45793,0.116627,0.263615,4915.92,0.194769,8309.79,167.5,0.5,0.0,4.0,65308.86,32654.43,44.2922,804,0.078431,21.0388,34914.99,8.5743,0,692,Fair
APL00063,59,11.9,0,High School,Single,115037.7,9586.48,727.21,4697.83,141.71,3,5757.69,Car,6067.74,2543.85,1,5.7,1,1,5,0,0,0.040837,0.014782,0.05005,1174.46,0.419242,3523.89,2543.85,0.25,0.5,5.5,123764.22,123764.22,138.671,59,0.276744,66.4222,110339.87,67.6486,1,737,Good
APL00064,51,2.6,1,High School,Married,60408.9,5034.08,257.43,7296.3,265.25,1,13761.82,Business,22155.65,8736.83,12,1.0,2,3,1,0,0,0.120782,0.052691,0.227811,3648.15,0.394339,13418.82,728.07,0.111111,1.0,8.5,63498.06,31749.03,28.6232,612,0.074286,11.0089,53112.6,18.9786,0,680,Fair
APL00065,30,7.4,3,Bachelor,Single,100421.45,8368.45,457.37,19128.11,520.56,4,45406.91,Business,11121.87,3516.71,9,23.9,1,0,2,0,1,0.190478,0.062205,0.452163,3825.62,0.316198,7605.16,390.75,0.5,0.0,3.5,105909.89,26477.47,85.2268,270,0.528571,275.2597,81293.34,16.0759,1,732,Good
APL00066,31,2.7,1,Bachelor,Divorced,33470.26,2789.19,604.64,18019.12,365.67,3,9626.27,Car,12385.97,1694.63,2,3.3,0,0,0,1,0,0.538362,0.131103,0.287607,4504.78,0.136819,10691.34,847.31,1.0,0.0,3.0,40725.94,20362.97,28.1298,62,0.18,34.3809,15451.14,7.6276,0,686,Fair
APL00067,30,0.8,2,PhD,Widowed,32889.58,2740.8,165.68,5926.77,95.6,7,30704.58,Home,9061.61,2977.38,2,17.4,0,0,1,0,0,0.180202,0.03488,0.933566,740.85,0.328571,6084.23,1488.69,1.0,0.0,0.5,34877.74,11625.91,8.3208,60,0.057143,180.9764,26962.81,28.6695,1,727,Good
APL00068,53,5.3,2,Bachelor,Single,45876.16,3823.01,95.07,20792.83,566.93,3,48615.87,Personal,13115.2,7291.73,4,10.1,3,0,1,0,1,0.453238,0.148294,1.05972,5198.21,0.555976,5823.47,1822.93,0.25,0.0,5.0,47017.0,15672.33,56.8887,212,0.143243,108.4106,25083.33,6.7434,0,680,Fair
APL00069,42,2.3,2,Bachelor,Divorced,55234.79,4602.9,614.93,14510.77,363.3,1,39696.74,Car,16623.77,7087.72,10,15.6,1,2,0,0,0,0.262711,0.078929,0.718691,7255.38,0.426361,9536.05,708.77,0.166667,1.0,5.0,62613.95,20871.32,25.1145,420,0.088462,170.3421,40724.02,12.6697,1,704,Good
APL00070,58,20.2,3,High School,Married,67747.95,5645.66,15.71,25759.2,890.82,2,25668.6,Home,8442.26,1405.15,1,23.8,1,2,0,0,0,0.380221,0.157788,0.378884,8586.4,0.166442,7037.11,1405.15,0.166667,1.0,5.0,67936.47,16984.12,224.696,58,0.480952,264.7408,41988.75,6.3376,1,716,Good
APL00071,27,1.8,2,PhD,Divorced,31223.96,2602.0,79.34,31889.92,730.69,6,10408.22,Education,12800.78,6081.55,9,22.4,0,0,0,0,0,1.021328,0.280819,0.333341,4555.7,0.475092,6719.23,675.73,1.0,0.0,0.0,32176.04,10725.35,18.6282,243,0.163636,231.817,-665.96,3.561,0,692,Fair
APL00072,68,5.1,2,Master,Married,64075.91,5339.66,316.12,46829.35,1843.97,5,20387.9,Car,10040.65,7034.26,3,17.9,0,0,2,0,0,0.730842,0.345335,0.318184,7804.89,0.700578,3006.39,2344.75,1.0,0.0,1.0,67869.35,22623.12,56.446,204,0.098077,198.1143,17246.56,2.8957,1,709,Good
APL00073,75,11.5,0,Master,Single,82764.32,6897.03,34.5,1689.14,37.21,4,19257.29,Personal,11268.1,6902.9,9,21.4,3,0,1,0,1,0.020409,0.005395,0.232676,337.83,0.612605,4365.2,766.99,0.25,0.0,5.0,83178.32,83178.32,130.2233,675,0.194915,242.3286,81075.18,185.3542,1,719,Good
APL00074,58,15.0,4,Bachelor,Divorced,66924.74,5577.06,456.4,15793.42,538.13,3,18976.65,Car,19214.63,6931.81,5,14.4,1,1,2,0,0,0.235988,0.09649,0.283552,3948.36,0.360757,12282.82,1386.36,0.25,0.5,4.0,72401.54,14480.31,166.6701,290,0.357143,160.0033,51131.32,10.3638,1,712,Good
APL00075,29,1.8,3,High School,Single,48505.91,4042.16,62.51,19642.25,489.04,0,38043.3,Medical,14565.5,3564.61,11,24.2,2,1,1,0,0,0.404946,0.120985,0.784302,19642.25,0.24473,11000.89,324.06,0.2,0.333333,4.5,49256.03,12314.01,19.421,319,0.138462,261.105,28863.66,8.2655,0,700,Good
APL00076,18,7.1,1,High School,Single,61403.78,5116.98,1500.56,10280.56,325.05,3,23787.2,Car,15673.44,11579.15,1,11.3,4,1,1,0,0,0.167426,0.063524,0.38739,2570.14,0.738775,4094.29,11579.14,0.142857,0.2,6.5,79410.5,39705.25,78.2792,18,3.55,124.5852,51123.22,15.7421,0,695,Fair
APL00077,41,3.3,1,High School,Married,20240.75,1686.73,164.94,3847.67,98.24,0,18080.55,Home,9114.17,3120.68,9,9.1,3,0,0,0,0,0.190095,0.058243,0.893275,3847.67,0.342399,5993.49,346.74,0.25,0.0,3.0,22220.03,11110.02,32.7212,369,0.132,90.2311,16393.08,17.1695,0,697,Fair
APL00078,29,3.0,2,Bachelor,Married,56315.71,4692.98,1376.92,4104.32,131.41,0,5005.28,Personal,13459.83,4870.66,1,7.6,2,0,1,0,0,0.072881,0.028001,0.088879,4104.32,0.361866,8589.17,4870.66,0.333333,0.0,2.5,72838.75,24279.58,32.8162,29,0.230769,83.1345,52211.39,35.7125,1,725,Good
